,,,,Number of Clusters,,,,,,,,,,,
Metric,Null,Site,2,3,4,5,6,7,8,9,10,11,12,13,14
In-sample,,,,,,,,,,,,,,,
MAE,5.79,3.26,NA,2.85,2.82,2.78,2.73,2.73,2.68,2.67,2.64,2.62,2.62,2.59,2.6
RMSE,7.23,4.23,NA,3.67,3.62,3.58,3.53,3.51,3.46,3.43,3.4,3.37,3.37,3.33,3.34
MAE%,0.57,0.37,NA,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31
RMSE%,1.96,1.39,NA,1.25,1.23,1.22,1.19,1.19,1.17,1.17,1.16,1.15,1.15,1.14,1.14
SD,5.21,3.12,NA,2.71,2.67,2.65,2.61,2.6,2.56,2.54,2.53,2.51,2.5,2.48,2.48
Out-of-sample,,,,,,,,,,,,,,,
MAE,7.52,4.82,NA,4.46,3.95,3.97,3.74,3.69,3.67,3.62,3.58,3.57,3.53,3.56,3.54
RMSE,8.96,6.11,NA,5.65,5.07,5.05,4.79,4.72,4.62,4.59,4.49,4.49,4.49,4.5,4.46
MAE%,0.65,0.49,NA,0.59,0.52,0.5,0.52,0.5,0.48,0.5,0.48,0.48,0.48,0.48,0.48
RMSE%,2.35,1.83,NA,2.08,1.81,1.71,1.81,1.75,1.64,1.69,1.67,1.66,1.69,1.71,1.67
SD,5.14,5.17,NA,5.21,4.72,4.78,4.59,4.48,4.42,4.39,4.31,4.33,4.34,4.32,4.3
Difference,,,,,,,,,,,,,,,
MAE,-1.72,-1.57,NA,-1.6,-1.13,-1.19,-1.01,-0.97,-0.99,-0.96,-0.94,-0.95,-0.92,-0.97,-0.95
RMSE,-1.74,-1.89,NA,-1.98,-1.45,-1.47,-1.26,-1.21,-1.16,-1.17,-1.09,-1.12,-1.12,-1.16,-1.13
MAE%,-0.08,-0.12,NA,-0.25,-0.18,-0.16,-0.19,-0.18,-0.16,-0.17,-0.16,-0.17,-0.17,-0.17,-0.17
RMSE%,-0.38,-0.44,NA,-0.84,-0.59,-0.49,-0.62,-0.56,-0.47,-0.52,-0.51,-0.51,-0.54,-0.57,-0.53
SD,0.07,-2.04,NA,-2.49,-2.05,-2.12,-1.98,-1.88,-1.85,-1.85,-1.78,-1.83,-1.83,-1.84,-1.83
